city,max temperature,min temperature,max humidity,min humidity,min ph,max ph
ontario,42.2,-30.0,35,50,9,6
alberta,43.3,-5.0,60,40,8,7
toronto,35.0,-1,61,81,8.5,6.5
quebec,40.0,-18.0,61,81,10,7
sinaloa,43.0,22.0,40,60,9,6
baja california,38.0,-9.4,59,69,7,6
orizaba,32.2,6.7,67,83,8,7
chihuahua,29.5,15.9,29,54,9,7
oaxaca,26.2,16.1,63,74,10,7
arkansas,49.0,-33.8,30,70,10,4
washington,48.0,-1.1,65,73,9,5
georgia,44.0,-27,65,78,8,5
texas,49.0,0.0,57,71,9,6
iowa,48.0,-10,53,87,7,4
krasnodar,40.7,-32.9,64,80,6.5,4.5
rostov,22.7,-26.1,64,86,8,6
stavropol,33.3,-15.5,65,83,9,5
siberia,38.0,-67.7,40,80,8,4
faizabad,42.0,18,54,82,7,6
amritsar,47.7,3.7,54,78,7.5,5.5
kolkata,35.3,20,51,73,8.5,4.5
ahmedabad,43.7,26.7,51,85,8,5
chhindwara,29.0,24.0,18,87,8.3,4.8
guizhou,28.0,8.0,87,98,9.5,5
guangdong,33.0,13.0,40,60,8,6
xinjiang,49.0,-19.4,42,61,8.5,4
urumqi,33.8,-22.2,41,78,7,5
